id;name;surname;age;phone;email
1;Ergonomic Salad man;Engineer Technician architect;20579;308.677.0210;Randy_Morar28@gmail.com
2;Loan;Norwegian geez;9910;404.933.4013 x19566;Makenzie.Buckridge38@hotmail.com
3;and bleak Fiat;misdial payment;10285;1-507-954-5389 x23390;Sadye.Prohaska@gmail.com
4;longingly;Home Designer users;1307;(566) 232-5349 x04598;Ezekiel.Sanford27@gmail.com
5;Baby orange;Tasty towards Cambridgeshire;17239;1-368-714-4548 x28059;Roy.Stamm@gmail.com
6;East maximized Courts;Vista ivory;9179;(305) 562-0023;Arne.Bode@hotmail.com
7;Producer Designer;apropos;26393;651-277-7356;Karlee_Robel@gmail.com
8;sexy;maroon circuit Louisiana;25594;913-379-8018 x560;Drew_Bechtelar@gmail.com
9;Rover;Cargo optio Small;202;(500) 471-4075 x978;Kelton.DuBuque91@hotmail.com
10;Directives;joule repurpose male;31246;680.226.3605;Garett81@hotmail.com
